Hash: 2101, Sign: 1234147, AesGcm: 12623
Hash: 2090, Sign: 1230174, AesGcm: 24188
Hash: 2294, Sign: 1132395, AesGcm: 11797
Hash: 2106, Sign: 1120170, AesGcm: 11640
Hash: 2567, Sign: 5156579, AesGcm: 11799
Hash: 1908, Sign: 1112117, AesGcm: 10801
Hash: 2056, Sign: 5182450, AesGcm: 11644
Hash: 1938, Sign: 1071553, AesGcm: 10169
Hash: 1846, Sign: 1097072, AesGcm: 11793
Hash: 2669, Sign: 5137846, AesGcm: 11779
Hash: 1934, Sign: 1109396, AesGcm: 11323
Hash: 5067, Sign: 5182935, AesGcm: 11498
Hash: 2023, Sign: 1100356, AesGcm: 10897
Hash: 1891, Sign: 1091192, AesGcm: 10465
Hash: 2085, Sign: 1121620, AesGcm: 11616
Hash: 1978, Sign: 1170307, AesGcm: 11801
Hash: 1932, Sign: 1054835, AesGcm: 11295
Hash: 1788, Sign: 1186077, AesGcm: 12529
Hash: 2056, Sign: 1132253, AesGcm: 11275
Hash: 1883, Sign: 5111864, AesGcm: 10558
Hash: 1936, Sign: 1120424, AesGcm: 10249
Hash: 2086, Sign: 1125951, AesGcm: 11651
Hash: 2735, Sign: 3630986, AesGcm: 11919
Hash: 1982, Sign: 1100033, AesGcm: 11333
Hash: 1985, Sign: 1089144, AesGcm: 11408
Hash: 2171, Sign: 1109435, AesGcm: 11199
Hash: 2055, Sign: 1130049, AesGcm: 11066
Hash: 1950, Sign: 1080458, AesGcm: 11385
Hash: 1812, Sign: 1074398, AesGcm: 10342
Hash: 2008, Sign: 1123367, AesGcm: 11322
Hash: 1833, Sign: 1083715, AesGcm: 11418
Hash: 1901, Sign: 1128033, AesGcm: 11447
Hash: 2011, Sign: 1092354, AesGcm: 11964
Hash: 1999, Sign: 1106886, AesGcm: 11471
Hash: 1961, Sign: 1140772, AesGcm: 11545
Hash: 1879, Sign: 1085182, AesGcm: 11371
Hash: 1974, Sign: 1095328, AesGcm: 11356
Hash: 1935, Sign: 1082681, AesGcm: 11205
Hash: 2191, Sign: 1135377, AesGcm: 14676
Hash: 1966, Sign: 1087717, AesGcm: 11826
Hash: 1974, Sign: 1106143, AesGcm: 11477
Hash: 1957, Sign: 1119496, AesGcm: 11715
Hash: 1958, Sign: 1086853, AesGcm: 11017
Hash: 2001, Sign: 1153203, AesGcm: 11599
Hash: 2830, Sign: 5125787, AesGcm: 12039
Hash: 2063, Sign: 1207695, AesGcm: 11404
Hash: 1789, Sign: 1107886, AesGcm: 10599
Hash: 2487, Sign: 5173383, AesGcm: 15522
Hash: 1787, Sign: 1099456, AesGcm: 11067
Hash: 2682, Sign: 5127377, AesGcm: 12648
Hash: 1903, Sign: 1079736, AesGcm: 11273
Hash: 2123, Sign: 1142701, AesGcm: 14289
Hash: 2076, Sign: 1209266, AesGcm: 10995
Hash: 1976, Sign: 1098774, AesGcm: 11208
Hash: 2134, Sign: 1157615, AesGcm: 11733
Hash: 1984, Sign: 1097598, AesGcm: 11308
Hash: 1916, Sign: 1082506, AesGcm: 11238
Hash: 1825, Sign: 1103969, AesGcm: 11536
Hash: 2086, Sign: 1101509, AesGcm: 11132
Hash: 1927, Sign: 1150160, AesGcm: 23017
Hash: 1810, Sign: 1119069, AesGcm: 10855
Hash: 2050, Sign: 1130057, AesGcm: 11355
Hash: 1904, Sign: 1096327, AesGcm: 11209
Hash: 1792, Sign: 1086606, AesGcm: 11236
Hash: 1973, Sign: 1115808, AesGcm: 11085
Hash: 2818, Sign: 1074009, AesGcm: 12268
Hash: 2004, Sign: 1104743, AesGcm: 11400
Hash: 2713, Sign: 2320162, AesGcm: 11950
Hash: 2021, Sign: 1131948, AesGcm: 11436
Hash: 1941, Sign: 1101634, AesGcm: 10950
Hash: 2020, Sign: 1158375, AesGcm: 11298
Hash: 1776, Sign: 1091285, AesGcm: 10085
Hash: 1771, Sign: 1094611, AesGcm: 10115
Hash: 1910, Sign: 1213400, AesGcm: 11127
Hash: 1796, Sign: 1060074, AesGcm: 11198
Hash: 2041, Sign: 1132458, AesGcm: 11144
Hash: 1886, Sign: 1119243, AesGcm: 11289
Hash: 2014, Sign: 1097794, AesGcm: 14041
Hash: 1941, Sign: 1076265, AesGcm: 11749
Hash: 1996, Sign: 1163247, AesGcm: 22493
Hash: 1956, Sign: 1123799, AesGcm: 23248
Hash: 2112, Sign: 1150234, AesGcm: 11706
Hash: 1953, Sign: 1129091, AesGcm: 11335
