chunk_compression, gcm_encryption, ecdsa_signature, lepton_compression, total_creation, dht_store, length normal ,length compressed, final_length
4.62317466736, 1.93810462952, 10.0190639496, 142.500162125, 17.9059505463, 172.766923904, 36182, 5684, 7409,
18.8529491425, 5.13696670532, 11.3499164581, 230.556964874, 36.7479324341, 236.16194725, 72002, 33375, 44294,
98.8550186157, 14.2769813538, 9.840965271, 339.462995529, 124.936103821, 327.72898674, 330889, 263861, 307514,
106.729984283, 21.7590332031, 9.49001312256, 316.081047058, 139.786958694, 318.881988525, 311446, 248508, 288117,
88.3588790894, 13.1959915161, 9.51099395752, 326.879024506, 113.081932068, 295.500993729, 307793, 243792, 284009,
107.873916626, 15.4011249542, 10.244846344, 351.524114609, 135.264873505, 317.981004715, 357229, 282801, 333713,
120.877027512, 15.2609348297, 10.2200508118, 346.040964127, 148.614168167, 368.721008301, 353468, 280403, 330178,
106.927871704, 13.7917995453, 9.6800327301, 325.82616806, 132.205963135, 290.449857712, 321493, 256505, 297973,
18.1090831757, 4.54092025757, 10.8959674835, 234.800100327, 35.5198383331, 205.950975418, 65528, 27739, 37247,
27.3020267487, 6.36696815491, 11.5869045258, 276.071071625, 46.6480255127, 235.064983368, 88019, 44721, 58826,
21.2790966034, 5.21302223206, 11.2240314484, 243.684053421, 39.1809940338, 196.994066238, 74061, 33826, 45198,
21.7831134796, 5.29289245605, 11.1129283905, 270.802974701, 39.608001709, 225.805997849, 75052, 34531, 46147,
8.8369846344, 2.96497344971, 10.3569030762, 184.806108475, 23.5059261322, 216.876029968, 47000, 14180, 19125,
34.4309806824, 8.46099853516, 12.2489929199, 329.226016998, 56.568145752, 281.679153442, 109765, 62824, 82380,
65.8099651337, 12.510061264, 9.18889045715, 307.359933853, 89.329957962, 362.168073654, 289933, 231542, 266829,
58.8600635529, 11.6519927979, 8.80098342896, 346.921920776, 80.9991359711, 329.846858978, 273732, 215203, 250423,
86.4410400391, 21.9550132751, 14.0881538391, 332.726955414, 124.513864517, 284.191131592, 261960, 203038, 238121,
74.7838020325, 13.5838985443, 9.59920883179, 307.338237762, 99.6689796448, 301.194906235, 316523, 250290, 293059,
96.9150066376, 24.4359970093, 18.1708335876, 323.788881302, 141.587018967, 301.865100861, 290377, 230683, 266912,
93.6508178711, 23.4181880951, 17.8399085999, 298.084974289, 136.715173721, 565.805912018, 279524, 222520, 256031,
28.9170742035, 7.39502906799, 11.950969696, 303.167104721, 50.3242015839, 333.786964417, 97788, 54140, 70851,
22.5059986115, 5.37610054016, 11.1348628998, 231.462001801, 40.3940677643, 220.543861389, 76009, 35124, 47054,
22.8519439697, 5.5251121521, 11.1889839172, 260.406017303, 40.9870147705, 227.365016937, 77531, 36457, 48661,
22.6359367371, 5.4669380188, 11.0700130463, 265.290975571, 40.5840873718, 214.015007019, 76862, 35859, 47899,
